protocol;start_time;end_time;duration_seconds;total_packets;forward_packets;backward_packets;is_bidirectional;forward_backward_ratio;total_bytes;forward_bytes;backward_bytes;total_payload_bytes;forward_payload_bytes;backward_payload_bytes;packets_per_second;bytes_per_second;min_packet_size;max_packet_size;avg_packet_size;avg_inter_arrival_ms;min_inter_arrival_ms;max_inter_arrival_ms;tcp_flags;syn_count;fin_count;rst_count;ack_count;connection_state
UDP;2026-04-20 10:54:52.089435;2026-04-20 11:07:56.606804;784.517.369;19558;19558;0;FALSE;inf;24501904;24501904;0;23836932;23836932;0;249.299.770.442.686;312.318.183.996.765;64;1514;12.527.816.750.178.900;4.011.440.246.459.060;0.0;992.81;;0;0;0;0;Unknown
UDP;2026-04-20 10:54:52.088979;2026-04-20 11:07:56.608029;78.451.905;19480;19480;0;FALSE;inf;1485672;1485672;0;823352;823352;0;24.830.499.654.533.500;1.893.736.041.208.940;64;412;762.665.297.741.273;40.275.119.359.310.000;0.028;989.804;;0;0;0;0;Unknown
UDP;2026-04-20 10:54:52.158613;2026-04-20 11:07:56.620279;784.461.666;1570;1570;0;FALSE;inf;536940;536940;0;483560;483560;0;20.013.724.928.147.000;6.844.693.925.426.300;342;342;342.0;49.997.556.787.762.900;35.194.399.999.999.900;645.58;;0;0;0;0;Unknown
TCP;2026-04-20 10:55:14.518272;2026-04-20 11:07:54.156312;75.963.804;277;132;145;TRUE;0.9103448275862069;62010;51872;10138;52592;47384;5208;0.36464735231005546;8.163.098.309.294.770;54;1446;22.386.281.588.447.600;2.752.311.739.130.430;0.0;45.011.459;A,PA;0;0;0;277;Ongoing
UDP;2026-04-20 10:54:51.947340;2026-04-20 11:07:53.123941;781.176.601;255;119;136;TRUE;0.875;51568;23443;28125;42898;19397;23501;0.3264306683963259;6.601.324.199.161.460;63;1292;20.222.745.098.039.200;30.754.984.291.338.500;0.0;15.007.396.999.999.900;;0;0;0;0;Unknown
TCP;2026-04-20 10:55:16.941312;2026-04-20 11:02:13.048989;416.107.677;114;53;61;TRUE;0.8688524590163934;49190;6079;43111;45314;4277;41037;0.2739675480680929;11.821.459.376.727.600;54;1454;43.149.122.807.017.500;36.823.688.230.088.400;0.0;45.015.428;A,FA,PA;0;2;0;114;Ongoing
TCP;2026-04-20 11:01:28.172713;2026-04-20 11:07:46.795867;378.623.154;117;51;66;TRUE;0.7727272727272727;47769;31813;15956;43791;30079;13712;0.3090143821473739;12.616.502.581.878.500;54;1466;40.828.205.128.205.100;32.639.927.068.965.500;0.0;13.310.527.099.999.900;A,FA,PA,S,SA;1;2;0;116;Closed
UDP;2026-04-20 11:04:39.952556;2026-04-20 11:05:02.358962;22.406.406;89;49;40;TRUE;1.225;46684;20660;26024;43658;18994;24664;39.720.783.422.383.700;20.835.112.958.320.900;66;1292;5.245.393.258.426.960;25.461.825;0.0;14.687.457.999.999.900;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:18.116479;2026-04-20 10:57:41.162399;2.304.592;78;43;35;TRUE;12.285.714.285.714.200;45371;20982;24389;42719;19520;23199;33.845.470.261.113.400;19.687.215.784.833.000;65;1292;5.816.794.871.794.870;29.929.766.233.766.200;0.0;8.297.397;;0;0;0;0;Unknown
UDP;2026-04-20 11:03:17.985949;2026-04-20 11:03:41.037664;23.051.715;78;43;35;TRUE;12.285.714.285.714.200;45208;20776;24432;42556;19314;23242;33.836.961.805.227.900;19.611.556.016.548.000;65;1292;5.795.897.435.897.430;29.937.292.207.792.200;0.0;9.359.205;;0;0;0;0;Unknown
TCP;2026-04-20 10:55:03.119410;2026-04-20 11:07:46.158781;763.039.371;312;133;179;TRUE;0.7430167597765364;42530;13968;28562;31922;9446;22476;0.40889108984128686;5.573.762.195.817.280;54;1446;13.631.410.256.410.200;2.453.502.800.643.080;0.0;44.957.058.000.000.000;A,PA;0;0;0;312;Ongoing
TCP;2026-04-20 10:55:30.247344;2026-04-20 10:57:52.033719;141.786.375;54;35;19;TRUE;18.421.052.631.578.900;40547;37386;3161;38711;36196;2515;0.38085464841032857;2.859.724.709.091.400;54;1466;7.508.703.703.703.700;26.752.146.226.415.000;0.0;141440.96;A,FA,PA,S,SA;1;2;0;53;Closed
UDP;2026-04-20 10:58:45.153689;2026-04-20 10:59:08.199626;23.045.937;58;35;23;TRUE;15.217.391.304.347.800;38264;21259;17005;36292;20069;16223;25.167.125.988.411.700;1.660.336.049.690.660;64;1292;6.597.241.379.310.340;4.043.146.842.105.260;0.0;6.840.888;;0;0;0;0;Unknown
UDP;2026-04-20 10:55:30.941376;2026-04-20 10:55:55.299293;24.357.917;59;24;35;TRUE;0.6857142857142857;37962;15208;22754;35956;14392;21564;2.422.210.404.937.330;15.585.076.507.157.800;64;1292;6.434.237.288.135.590;4.199.640.862.068.960;0.0;9.318.713.000.000.000;;0;0;0;0;Unknown
TCP;2026-04-20 10:55:34.960763;2026-04-20 11:05:55.332059;620.371.296;54;35;19;TRUE;18.421.052.631.578.900;35666;28952;6714;33830;27762;6068;0.08704464624359409;574.913.769.060.005;54;1466;6.604.814.814.814.810;1.170.511.879.245.280;0.0;36.100.347.699.999.900;A,FA,FPA,PA,RA,S,SA;1;8;1;53;Closed
UDP;2026-04-20 11:04:37.941663;2026-04-20 11:05:00.417199;22.475.536;92;54;38;TRUE;14.210.526.315.789.400;35656;23763;11893;32528;21927;10601;4.093.339.531.479.910;15.864.360.253.744.300;65;1292;3.875.652.173.913.040;2.469.839.120.879.120;0.0;8.456.600.999.999.990;;0;0;0;0;Unknown
UDP;2026-04-20 10:58:45.147976;2026-04-20 10:59:14.983165;29.835.189;61;38;23;TRUE;16.521.739.130.434.700;34789;21846;12943;32715;20554;12161;2.044.565.563.167.700;11.660.392.029.023.100;66;1292;570.311.475.409.836;49.725.315.000.000.000;0.0;18.663.976.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 11:04:49.951649;2026-04-20 11:05:12.999371;23.047.722;51;33;18;TRUE;18.333.333.333.333.300;34495;22732;11763;32761;21610;11151;22.128.000.329.056.300;14.966.771.987.270.500;65;1292;6.763.725.490.196.070;46.095.444.000.000.000;0.0;9.216.060.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 10:54:57.950769;2026-04-20 10:55:21.002620;23.051.851;48;19;29;TRUE;0.6551724137931034;34336;14276;20060;32704;13630;19074;20.822.622.877.442.600;14.895.116.231.664;65;1292;7.153.333.333.333.330;49.046.491.489.361.700;0.0;9.805.820.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 11:00:36.427077;2026-04-20 11:01:36.863801;60.436.724;92;54;38;TRUE;14.210.526.315.789.400;34271;22406;11865;31143;20570;10573;15.222.532.578.039.800;5.670.558.847.630.450;65;1292;3.725.108.695.652.170;6.641.398.241.758.240;0.0;24386.61;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:18.083132;2026-04-20 10:57:35.896935;17.813.803;83;34;49;TRUE;0.6938775510204082;33701;10950;22751;30879;9794;21085;4.659.308.290.318.460;18.918.475.746.026.800;65;1292;40.603.614.457.831.300;2.172.415;0.0;62.900.070.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:35.874076;2026-04-20 10:57:58.900155;23.026.079;43;14;29;TRUE;0.4827586206896552;33157;10554;22603;31695;10078;21617;18.674.477.751.943.700;14.399.759.507.469.700;63;1292;7.710.930.232.558.130;5.482.399.761.904.760;0.0;10.243.184;;0;0;0;0;Unknown
UDP;2026-04-20 11:04:59.945771;2026-04-20 11:05:22.994494;23.048.723;47;29;18;TRUE;16.111.111.111.111.100;33081;20058;13023;31483;19072;12411;20.391.585.251.816.300;1.435.263.897.266.670;65;1292;7.038.510.638.297.870;50.105.919.565.217.300;0.0;8.670.044;;0;0;0;0;Unknown
UDP;2026-04-20 11:06:24.669209;2026-04-20 11:06:42.736263;18.067.054;81;33;48;TRUE;0.6875;32386;10806;21580;29632;9684;19948;4.483.298.715.994.310;17.925.445.952.616.200;65;1292;39.982.716.049.382.700;225.838.175;0.0;4.394.242;;0;0;0;0;Unknown
UDP;2026-04-20 10:55:16.051380;2026-04-20 10:55:39.102872;23.051.492;45;28;17;TRUE;16.470.588.235.294.100;32109;19071;13038;30579;18119;12460;1.952.151.296.757.710;13.929.250.219.465.100;64;1292;7.135.333.333.333.330;5.238.975.454.545.450;0.0;9421.09;;0;0;0;0;Unknown
TCP;2026-04-20 10:55:02.922605;2026-04-20 11:04:44.265746;581.343.141;101;55;46;TRUE;11.956.521.739.130.400;31922;9467;22455;28488;7597;20891;0.17373560101915783;54.910.770.848.847.000;54;1454;31.605.940.594.059.400;5.813.431.409.999.990;0.0;45.015.916;A,FA,PA;0;2;0;101;Ongoing
TCP;2026-04-20 11:03:53.392845;2026-04-20 11:07:46.795582;233.402.737;80;35;45;TRUE;0.7777777777777778;30944;20605;10339;28224;19415;8809;0.34275519228379914;1.325.777.083.753.730;54;1466;386.8;29.544.650.253.164.500;0.0;14.661.185.499.999.900;A,FA,PA,S,SA;1;2;0;79;Closed
UDP;2026-04-20 10:55:00.140411;2026-04-20 10:55:08.614093;8.473.682;49;38;11;TRUE;34.545.454.545.454.500;30914;23361;7553;29248;22069;7179;5.782.610.204.159.180;3.648.236.976.558.710;76;1292;6.308.979.591.836.730;17.653.504.166.666.600;0.0;4.196.367;;0;0;0;0;Unknown
UDP;2026-04-20 11:04:44.398173;2026-04-20 11:05:07.450530;23.052.357;60;21;39;TRUE;0.5384615384615384;30783;7350;23433;28743;6636;22107;26.027.707.275.225.600;13.353.515.217.554.500;64;1292;513.05;3.907.179.152.542.370;0.0;10.407.867;;0;0;0;0;Unknown
UDP;2026-04-20 11:01:11.957765;2026-04-20 11:01:35.010994;23.053.229;59;21;38;TRUE;0.5526315789473685;30732;7347;23385;28726;6633;22093;25.592.944.051.351.700;13.330.887.399.765.100;64;1292;5.208.813.559.322.030;39.746.946.551.724.100;0.0;10.645.954;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:40.505552;2026-04-20 10:58:03.557221;23.051.669;59;21;38;TRUE;0.5526315789473685;30716;7348;23368;28710;6634;22076;2.559.467.602.974.860;13.324.848.625.928.100;64;1292;5.206.101.694.915.250;3.974.425.689.655.170;0.0;10524.45;;0;0;0;0;Unknown
UDP;2026-04-20 11:05:00.393627;2026-04-20 11:05:09.951684;9.558.057;54;41;13;TRUE;31.538.461.538.461.500;29894;22220;7674;28058;20826;7232;5.649.683.821.722.340;3.127.623.114.195.690;74;1292;5.535.925.925.925.920;18.034.069.811.320.700;0.0;4.748.361;;0;0;0;0;Unknown
UDP;2026-04-20 11:00:44.951022;2026-04-20 11:01:20.041409;35.090.387;67;27;40;TRUE;0.675;29532;11284;18248;27254;10366;16888;19.093.548.327.067.400;8.415.980.137.238.150;64;1292;4.407.761.194.029.850;5.316.725.303.030.300;0.0;8.909.302;;0;0;0;0;Unknown
UDP;2026-04-20 11:02:18.063586;2026-04-20 11:02:41.113697;23.050.111;42;26;16;TRUE;1.625;29451;16009;13442;28023;15125;12898;18.221.170.388.290.100;12.776.944.978.703.100;65;1292;7.012.142.857.142.850;5.621.978.292.682.920;0.0;9.570.946;;0;0;0;0;Unknown
UDP;2026-04-20 10:59:14.948836;2026-04-20 10:59:50.002810;35.053.974;60;23;37;TRUE;0.6216216216216216;28877;10981;17896;26837;10199;16638;17.116.461.602.898.400;8.237.867.695.114.960;64;1292;48.128.333.333.333.300;5.941.351.525.423.720;0.0;8.957.113;;0;0;0;0;Unknown
UDP;2026-04-20 10:55:46.662333;2026-04-20 10:56:15.834587;29.172.254;36;24;12;TRUE;2.0;28854;19212;9642;27630;18396;9234;1.234.049.312.747.650;9.890.905.241.672.440;67;1292;801.5;8.334.929.714.285.710;0.0;8.819.496;;0;0;0;0;Unknown
UDP;2026-04-20 11:03:07.608297;2026-04-20 11:03:21.552380;13.944.083;57;38;19;TRUE;2.0;28816;21009;7807;26878;19717;7161;4.087.755.358.312.190;20.665.396.211.425.300;65;1292;5.055.438.596.491.220;24.900.148.214.285.700;0.0;3.543.772;;0;0;0;0;Unknown
UDP;2026-04-20 10:55:23.973463;2026-04-20 10:55:47.606930;23.633.467;40;22;18;TRUE;12.222.222.222.222.200;28593;11899;16694;27233;11151;16082;16.925.151.100.344.200;12.098.521.135.303.500;64;1292;714.825;6.059.863.333.333.330;0.0;8.476.536;;0;0;0;0;Unknown
UDP;2026-04-20 11:07:12.326775;2026-04-20 11:07:30.824165;1.849.739;45;12;33;TRUE;0.36363636363636365;28414;8375;20039;26884;7967;18917;24.327.756.510.513.100;15.361.086.077.549.300;66;1292;6.314.222.222.222.220;42.039.522.727.272.700;0.0;8.635.927;;0;0;0;0;Unknown
UDP;2026-04-20 11:05:36.117879;2026-04-20 11:05:59.169133;23.051.254;44;14;30;TRUE;0.4666666666666667;27864;6638;21226;26368;6162;20206;19.087.898.645.340.500;1.208.784.563.304.010;64;1292;6.332.727.272.727.270;5.360.756.744.186.040;0.0;10.105.473;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:58.952118;2026-04-20 10:58:28.109528;2.915.741;36;24;12;TRUE;2.0;27770;19261;8509;26546;18445;8101;12.346.775.656.685.500;9.524.165.555.171.050;67;1292;7.713.888.888.888.880;8.330.688.571.428.570;0.0;9.263.273;;0;0;0;0;Unknown
UDP;2026-04-20 10:55:16.676545;2026-04-20 10:55:45.843719;29.167.174;36;24;12;TRUE;2.0;27731;19226;8505;26507;18410;8097;12.342.642.451.407.800;9.507.606.050.555.320;67;1292;7.703.055.555.555.550;8.333.478.285.714.280;0.0;9.577.576.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 11:02:18.036066;2026-04-20 11:02:33.013041;14.976.975;57;37;20;TRUE;1.85;27653;19795;7858;25715;18537;7178;380.584.196.741.999;18.463.675.074.572.800;66;1292;485.140.350.877.193;26.744.598.214.285.700;0.0;5689.93;;0;0;0;0;Unknown
UDP;2026-04-20 10:56:17.444738;2026-04-20 10:56:46.616032;29.171.294;35;23;12;TRUE;19.166.666.666.666.600;27537;17885;9652;26347;17103;9244;1.199.809.648.485.250;9.439.759.511.525.260;67;1292;7.867.714.285.714.280;8.579.792.352.941.170;0.0;9.351.169;;0;0;0;0;Unknown
UDP;2026-04-20 11:06:40.944625;2026-04-20 11:07:03.995091;23.050.466;58;23;35;TRUE;0.6571428571428571;27427;9814;17613;25455;9032;16423;25.162.181.102.976.300;11.898.674.846.747.100;65;1292;47.287.931.034.482.700;4.043.941.403.508.770;0.0;9996.25;;0;0;0;0;Unknown
UDP;2026-04-20 11:04:37.960761;2026-04-20 11:05:01.012656;23.051.895;58;22;36;TRUE;0.6111111111111112;27222;9663;17559;25250;8915;16335;2.516.062.128.514.810;11.809.007.459.039.700;64;1292;4.693.448.275.862.060;4.044.192.105.263.150;0.0;77.485.160.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 10:56:18.077371;2026-04-20 10:56:41.130527;23.053.156;41;26;15;TRUE;17.333.333.333.333.300;27018;14851;12167;25624;13967;11657;17.784.983.539.780.800;11.719.870.372.629.200;65;1292;6.589.756.097.560.970;5.763.289;0.0;9.303.286.999.999.990;;0;0;0;0;Unknown
Unknown;2026-04-20 10:54:56.103092;2026-04-20 11:07:54.951869;778.848.777;314;314;0;FALSE;inf;27004;27004;0;0;0;0;0.40315913598719044;3.467.168.569.489.830;86;86;86.0;2.488.334.750.798.720;50.624.899.999.999.900;10.239.253;;0;0;0;0;Unknown
TCP;2026-04-20 11:03:17.167618;2026-04-20 11:04:20.200284;63.032.666;47;26;21;TRUE;12.380.952.380.952.300;27000;19190;7810;25402;18306;7096;0.7456451231175911;42.834.932.604.627.500;54;1514;574.468.085.106.383;1.370.275.347.826.080;0.0;62.267.808.000.000.000;A,PA,RA,S,SA;1;0;1;46;Reset
UDP;2026-04-20 10:58:12.947451;2026-04-20 10:58:23.492853;10.545.402;40;11;29;TRUE;0.3793103448275862;26652;9503;17149;25292;9129;16163;3.793.122.348.488.940;25.273.574.207.981.800;66;1292;666.3;2.703.949.230.769.230;0.0;4.718.282.999.999.990;;0;0;0;0;Unknown
UDP;2026-04-20 10:58:55.952005;2026-04-20 10:59:19.000900;23.048.895;51;20;31;TRUE;0.6451612903225806;25997;11333;14664;24263;10653;13610;221.268.741.950.536;1.127.906.565.585.890;63;1292;5.097.450.980.392.150;46.097.790.000.000.000;0.0;8.521.426;;0;0;0;0;Unknown
UDP;2026-04-20 11:06:24.691902;2026-04-20 11:06:49.963404;25.271.502;42;15;27;TRUE;0.5555555555555556;25535;8809;16726;24107;8299;15808;1.661.951.078.333.210;10.104.266.853.628.200;66;1292;6.079.761.904.761.900;6.163.780.975.609.750;0.0;10.198.162;;0;0;0;0;Unknown
UDP;2026-04-20 10:56:24.737979;2026-04-20 10:56:49.994211;25.256.232;42;15;27;TRUE;0.5555555555555556;25493;8810;16683;24065;8300;15765;16.629.558.993.598.000;10.093.746.367.233.200;64;1292;6.069.761.904.761.900;6.160.056.585.365.850;0.0;11501.73;;0;0;0;0;Unknown
UDP;2026-04-20 11:01:12.158379;2026-04-20 11:01:22.739410;10.581.031;48;9;39;TRUE;0.23076923076923078;25358;5246;20112;23726;4940;18786;4.536.419.938.661.930;23.965.528.500.956.000;65;1292;5.282.916.666.666.660;22.512.831.914.893.600;0.0;5.265.191;;0;0;0;0;Unknown
UDP;2026-04-20 11:01:12.420296;2026-04-20 11:01:35.471460;23.051.164;27;14;13;TRUE;10.769.230.769.230.700;25340;16397;8943;24422;15921;8501;11.713.074.446.045.300;10.992.937.276.399.500;82;1292;9.385.185.185.185.180;8.865.832.307.692.300;0.059;10.523.121;;0;0;0;0;Unknown
UDP;2026-04-20 11:02:37.038147;2026-04-20 11:03:08.014632;30.976.485;56;21;35;TRUE;0.6;25150;8829;16321;23246;8115;15131;18.078.229.340.740.200;811.906.192.713.602;64;1292;44.910.714.285.714.200;5.632.088.181.818.180;0.0;8.968.026;;0;0;0;0;Unknown
UDP;2026-04-20 11:02:11.640648;2026-04-20 11:02:34.694713;23.054.065;38;13;25;TRUE;0.52;24983;8574;16409;23691;8132;15559;16.482.993.346.292.700;10.836.700.599.221.800;64;1292;6.574.473.684.210.520;6.230.828.378.378.370;0.0;10.936.719.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 11:07:19.934508;2026-04-20 11:07:42.982834;23.048.326;36;12;24;TRUE;0.5;24892;8508;16384;23668;8100;15568;15.619.355.609.600.400;10.799.916.662.060.400;66;1292;6.914.444.444.444.440;6.585.235.999.999.990;0.0;9.924.669;;0;0;0;0;Unknown
UDP;2026-04-20 10:55:14.985460;2026-04-20 10:55:38.036903;23.051.443;36;12;24;TRUE;0.5;24883;8497;16386;23659;8089;15570;15.617.243.571.259.200;10.794.551.993.990.100;66;1292;6.911.944.444.444.440;6.586.126.571.428.570;0.0;10.216.142;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:19.983296;2026-04-20 10:57:43.033789;23.050.493;36;12;24;TRUE;0.5;24828;8502;16326;23604;8094;15510;15.617.887.218.290.700;10.771.136.218.214.500;66;1292;6.896.666.666.666.660;6.585.855.142.857.140;0.0;10.285.475.999.999.900;;0;0;0;0;Unknown
UDP;2026-04-20 10:59:36.146403;2026-04-20 10:59:59.197143;2.305.074;30;8;22;TRUE;0.36363636363636365;24727;5600;19127;23707;5328;18379;13.014.766.554.132.300;10.727.204.419.467.600;65;1292;8.242.333.333.333.330;7.948.531.034.482.750;0.0;10.176.192.000.000.000;;0;0;0;0;Unknown
UDP;2026-04-20 10:54:52.315297;2026-04-20 10:55:15.367106;23.051.809;48;18;30;TRUE;0.6;24657;10104;14553;23025;9492;13533;2.082.266.081.590.380;10.696.340.577.869.600;63;1292;5.136.875;49.046.402.127.659.500;0.0;9.105.122;;0;0;0;0;Unknown
UDP;2026-04-20 11:02:32.947342;2026-04-20 11:02:56.002540;23.055.198;26;14;12;TRUE;11.666.666.666.666.600;24524;16405;8119;23640;15929;7711;11.277.283.326.736.100;1.063.708.062.711.060;82;1292;9.432.307.692.307.690;9.222.079.199.999.990;0.062;11.357.590.999.999.900;;0;0;0;0;Unknown
UDP;2026-04-20 10:54:51.941278;2026-04-20 10:56:24.736562;92.795.284;115;53;62;TRUE;0.8548387096774194;24179;9465;14714;20269;7663;12606;12.392.871.172.203.100;260.562.810.497.999;66;353;2.102.521.739.130.430;8.139.937.192.982.450;0.0;24.333.091;;0;0;0;0;Unknown
TCP;2026-04-20 10:57:11.702517;2026-04-20 10:59:16.276291;124.573.774;32;15;17;TRUE;0.8823529411764706;23985;6612;17373;22897;6102;16795;0.2568758974902695;19.253.651.254.075.300;54;1514;74.953.125;40.185.088.387.096.700;0.0;12.426.191.900.000.000;A,PA,RA,S,SA;1;0;1;31;Reset
UDP;2026-04-20 11:03:07.628885;2026-04-20 11:03:30.677544;23.048.659;43;27;16;TRUE;16.875;23969;14278;9691;22507;13360;9147;18.656.182.990.949.700;10.399.303.490.931.900;63;1292;5.574.186.046.511.620;5.487.775.952.380.950;0.0;8.507.683;;0;0;0;0;Unknown
UDP;2026-04-20 10:57:40.695212;2026-04-20 10:57:50.871284;10.176.072;48;9;39;TRUE;0.23076923076923078;23940;5245;18695;22308;4939;17369;4.716.947.757.445.110;235.257.769.402.575;65;1292;498.75;21.651.217.021.276.500;0.0;5.058.461;;0;0;0;0;Unknown
UDP;2026-04-20 11:07:12.377270;2026-04-20 11:07:35.426007;23.048.737;40;26;14;TRUE;18.571.428.571.428.500;23715;14172;9543;22355;13288;9067;17.354.530.098.547.200;1.028.906.703.217.620;63;1292;592.875;5.909.932.564.102.560;0.0;9.291.025;;0;0;0;0;Unknown
UDP;2026-04-20 11:04:44.543631;2026-04-20 11:04:53.174773;8.631.142;45;9;36;TRUE;0.25;22741;5243;17498;21211;4937;16274;5.213.678.560.728.110;26.347.614.255.448.400;65;1292;50.535.555.555.555.500;19.616.231.818.181.800;0.0;4.291.822;;0;0;0;0;Unknown
TCP;2026-04-20 10:55:01.936418;2026-04-20 11:07:42.206537;760.270.119;148;90;58;TRUE;15.517.241.379.310.300;22182;9055;13127;17150;5995;11155;0.19466765337912748;29.176.472.211.187.800;54;1478;1.498.783.783.783.780;5.171.905.571.428.570;0.0;20072.06;A,PA,S,SA;1;0;0;147;Established
TCP;2026-04-20 10:54:59.931513;2026-04-20 11:07:40.191952;760.260.439;143;85;58;TRUE;14.655.172.413.793.100;21918;8755;13163;17056;5865;11191;0.18809343833291317;28.829.594.275.390.100;54;1478;15.327.272.727.272.700;5.353.946.753.521.120;0.0;20.047.536;A,PA,S,SA;1;0;0;142;Established
UDP;2026-04-20 11:01:16.519618;2026-04-20 11:01:41.640153;25.120.535;35;11;24;TRUE;0.4583333333333333;21694;6521;15173;20504;6147;14357;1.393.282.428.101.150;863.596.257.006.469;64;1292;6.198.285.714.285.710;7.388.392.647.058.820;0.0;10497.69;;0;0;0;0;Unknown
UDP;2026-04-20 10:58:30.983255;2026-04-20 10:58:54.720858;23.737.603;33;20;13;TRUE;15.384.615.384.615.300;21329;10862;10467;20207;10182;10025;13.901.993.389.981.200;8.985.321.727.724.570;63;1292;6.463.333.333.333.330;74.180.009.375;0.0;10.306.361;;0;0;0;0;Unknown
